facilityid,name,address,city,county,state,zip,capacity,type,securelvl,status,ice_facility,flood_risk_rating,flood_risk,confidence,distance,depth_cm_100_year_flood,heat_risk_rating,heat_risk,hist_90,hist_105,late45_90,late45_105,late85_90,late85_105,paris_90,paris_105,wildfire_risk_rating,wildfire_risk,mean_percentile
10002798,MIDLAND COUNTY CENTRAL DETENTION CENTER,400 S MAIN ST,MIDLAND,MIDLAND,TX,79701,498,COUNTY,MAXIMUM,OPEN,N,1,Minimal,high,0,0,4,Severe,76.3485,0,123.765,9.24242,155.742,52.7273,118.992,4.90909,1,minimal,6
10002796,BARBARA CULVER JUVENILE DETENTION CENTER,3800 N LAMESA RD,MIDLAND,MIDLAND,TX,79701,24,COUNTY,JUVENILE,OPEN,N,4,Moderate,high,0,0,4,Severe,76.3485,0,123.765,9.24242,155.742,52.7273,118.992,4.90909,2,low,79
10002836,SAN JACINTO COUNTY JAIL,75 W CEDAR AVE,COLDSPRING,SAN JACINTO,TX,77331,144,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,5,Extreme,111.989,11.6742,153.888,68.8427,175.483,111.944,148.764,59.8202,1,minimal,70
10003033,YELLOW MEDICINE COUNTY JAIL,415 9TH AVENUE,GRANITE FALLS,YELLOW MEDICINE,MN,56241,36,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.011364441330852432,0,2,Moderate,15.4388,0.510791,50.036,8.02158,77.9065,27.3597,43.259,5.1223,1,minimal,58
10006288,NMJC THIEF RIVER FALLS SATELLITE HOME,118 N. SPRUCE AVENUE,THIEF RIVER FALLS,PENNINGTON,MN,56701,5,LOCAL,JUVENILE,OPEN,N,1,Minimal,high,0,0,1,Low,6.625,0,29.0536,3,52.9196,12.7054,22.9732,1.76786,1,minimal,68
10005438,PREBLE COUNTY JAIL,1139 PREBLE DRIVE,EATON,PREBLE,OH,45320,70,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,2,Moderate,18.2258,0.177419,64.6936,11.0323,95.8871,33.6936,57.3064,7.14516,1,minimal,28
10004413,SCHLEICHER COUNTY JAIL,4 SOUTH DIVIDE STREET,ELDORADO,SCHLEICHER,TX,76936,15,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,4,Severe,75.1167,0,124.872,11.1722,157.328,59.0944,119.422,6.55556,6,extreme,96
10003100,WASHINGTON COUNTY CORRECTIONAL FACILITY,100 W CHERRY AVE,WASHINGTON,WASHINGTON,PA,15301,407,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.028237738578465284,0,1,Low,9.96323,0,50.3162,4.81618,85.7721,23.7132,42.9485,2.41912,1,minimal,15
10006806,ANDREW COUNTY JAIL,400 EAST MAIN STREET,SAVANNAH,ANDREW,MO,64485,60,COUNTY,MAXIMUM,OPEN,N,1,Minimal,high,0,0,3,Major,37.9118,3.51471,83.0588,23.2353,109.471,54.6618,77.4706,18.1029,1,minimal,69
10005221,WAYNE COUNTY CORRECTIONAL FACILITY,44 MID-WAYNE DR,HONESDALE,WAYNE,PA,18431,201,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,1,Low,1.92683,0,21.5366,0.341463,52.3659,8.54472,16.0163,0.00813008,1,minimal,56
10005850,AUDRAIN COUNTY JAIL,1100 LITTLEBY ROAD,MEXICO,AUDRAIN,MO,65265,-999,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,3,Major,42.1875,3.33929,88.3482,27.7232,114.071,59.0982,82.9107,21.8393,1,minimal,25
10005872,BATES COUNTY JAIL,6 WEST FORT SCOTT STREET,BUTLER,BATES,MO,64730,100,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,4,Severe,54.1642,6.0597,98.291,36.1343,122.784,69.2985,92.8657,29.7313,1,minimal,46
10005564,ATTALA COUNTY JAIL,112 WEST ADAMS STREET,KOSCIUSKO,ATTALA,MS,39090,-999,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,4,Severe,88.3646,5.65625,131.802,47.5938,155.344,90.6771,125.25,38.6146,1,minimal,34
10004389,SHACKELFORD COUNTY JAIL,791 US HWY 180 WEST,ALBANY,SHACKELFORD,TX,76430,27,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.017278936283858626,0,4,Severe,92.7972,2.59441,133.182,39.7203,159.657,87.1958,128.252,31.6014,6,extreme,96
10001287,BEXAR COUNTY JUVENILE DETENTION CENTER,600 MISSION RD,SAN ANTONIO,BEXAR,TX,78210,278,COUNTY,JUVENILE,OPEN,N,1,Minimal,medium-high,0.047050687390945006,0,5,Extreme,111.285,4.52326,154.471,50.8023,177.488,103.18,149.692,41.2093,1,minimal,31
10005772,PARMENTER COMMUNITY JUSTICE CENTER,706 5TH STREET,BAY CITY,BAY,MI,48708,13,LOCAL,JUVENILE,NOT AVAILABLE,N,1,Minimal,high,0,0,1,Low,9.39189,0,38.9054,4.64865,67.6622,19.7703,31.7432,2.59459,1,minimal,6
10006287,WOODLAND HILLS TREATMENT CENTER,4321 ALLANDALE AVE,DULUTH,ST. LOUIS,MN,55803,-999,LOCAL,JUVENILE,OPEN,N,1,Minimal,high,0,0,1,Low,2.455,0,19.4108,0.8975,42.54,8.0975,14.4483,0.0491667,1,minimal,45
10001675,SCIOTO COUNTY JAIL,1025 16TH ST,PORTSMOUTH,SCIOTO,OH,45662,-999,COUNTY,NOT AVAILABLE,OPEN,N,2,Low,high,0,0,3,Major,27.2247,0.134831,76.3933,12.4494,108.258,40.6292,69.4494,8.59551,1,minimal,6
10006914,VOLUNTEERS OF AMERICA - MINNEAPOLIS RESIDENTIAL RE-ENTRY CENTER,2825 EAST LAKE STREET,MINNEAPOLIS,HENNEPIN,MN,55406,-999,LOCAL,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,2,Moderate,12.8163,0.0612245,47.9184,8.52041,75.6531,26.6633,40.5306,5.11225,1,minimal,6
10005396,BENTON COUNTY JAIL / SHERIFF,174 W. WASHINGTON STREET,WARSAW,BENTON,MO,65355,24,COUNTY,NOT AVAILABLE,OPEN,N,4,Moderate,high,0,0,3,Major,48.4867,4.68142,93.9292,31.6549,119.699,64.5664,88.8053,25.6018,1,minimal,72
10005885,BOLLINGER COUNTY JAIL,202 HIGH STREET,MARBLE HILL,BOLLINGER,MO,63764,-999,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,4,Severe,51.023,2.49425,97.4943,30.8276,123.77,64.4943,92.0575,25.069,1,minimal,67
10002698,SHERIFF AL CANNON DETENTION CENTER,3841 LEEDS AVE,NORTH CHARLESTON,CHARLESTON,SC,29405,1917,COUNTY,MAXIMUM,OPEN,N,5,Major,high,0,0,4,Severe,75.1888,3.88112,123.958,31.1818,149.93,77.4545,118.343,23.6713,1,minimal,47
10002832,MILAM COUNTY JAIL,512 N JEFFERSON,CAMERON,MILAM,TX,76520,160,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,5,Extreme,110.632,7.84722,151.951,60.6667,173.833,108.361,146.979,51.0556,1,minimal,53
10002833,ROCKDALE REGIONAL JUVENILE JUSTICE CENTER,696 N FM 487,ROCKDALE,MILAM,TX,76567,67,COUNTY,JUVENILE,OPEN,N,1,Minimal,high,0,0,5,Extreme,110.632,7.84722,151.951,60.6667,173.833,108.361,146.979,51.0556,2,low,80
10004420,SUTTON COUNTY JAIL,401 EAST OAK STREET,SONORA,SUTTON,TX,76950,28,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,4,Severe,82.465,0,131.095,14.62,162.415,65.985,125.785,8.9,5,severe,91
10006014,NOBLE COUNTY JAIL / COURTHOUSE,"300 COURTHOUSE DR, STE 5",PERRY,NOBLE,OK,73077,48,MULTI,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.00911070266778286,0,4,Severe,76.2562,7.20661,114.421,44.7107,138.512,81.2727,109.24,37.6281,1,minimal,60
10001789,CARTERET COUNTY DETENTION FACILITY,306 CRAVEN ST,BEAUFORT,CARTERET,NC,28516,117,COUNTY,NOT AVAILABLE,OPEN,N,6,Major,medium-high,0.039771780008543735,46,4,Severe,56.5526,0.434211,104.842,20.0263,130.447,61.6316,99.6184,13.4342,1,minimal,55
10004391,NOLAN COUNTY JAIL,211 AVENGER FIELD RD,SWEETWATER,NOLAN,TX,79556,96,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.01642385070647844,0,4,Severe,76.1057,0,121.65,15.0732,152.569,61.8211,116.569,9.52033,6,extreme,97
10002932,NUECES COUNTY MCKINZIE JAIL ANNEX,745 N PADRE ISLAND DR,CORPUS CHRISTI,NUECES,TX,78406,450,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,5,Extreme,130.761,7.52239,170.015,69.9104,189.09,124.843,165.642,57.5299,1,minimal,34
10005223,MINSEC OF SCRANTON,539 LINDEN ST,SCRANTON,LACKAWANNA,PA,18503,30,LOCAL,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,1,Low,2.95946,0,24.9324,0.837838,56.7973,10.6892,19.2027,0.243243,1,minimal,6
10005500,CASWELL COUNTY DETENTION CENTER,231 COUNTY PARK RD,YANCEYVILLE,CASWELL,NC,27379,108,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,4,Severe,52.7121,2.19697,100,24.6515,126.818,60.5758,94.197,18.3939,1,minimal,38
10004187,CATAWBA COUNTY DETENTION FACILITY / JUSTICE CENTER,100 B SOUTHWEST BLVD,NEWTON,CATAWBA,NC,28658,268,COUNTY,MAXIMUM,OPEN,N,1,Minimal,medium-high,0.07318056245570859,0,3,Major,40.5806,0.580645,91.3064,14.4194,122.226,48.7903,84.8871,10.1452,1,minimal,40
10006915,JOPLIN CITY JAIL,303 E 3RD STREET,JOPLIN,JASPER,MO,64801,60,LOCAL,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,4,Severe,56.9688,4.79167,101.406,35.7396,126.656,71.8021,95.7813,28.8542,1,minimal,17
10001613,BUCHANAN COUNTY JAIL,501 FARAON ST,ST. JOSEPH,BUCHANAN,MO,64501,224,COUNTY,MAXIMUM,OPEN,N,1,Minimal,high,0,0,3,Major,42.5147,4,87.8971,26.6618,113.559,58.8971,82,21.0441,1,minimal,6
10005388,CALDWELL COUNTY DETENTION CENTER,280 WEST MAIN STREET,KINGSTON,CALDWELL,MO,64650,-999,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,3,Major,36.9697,3.34848,82.3788,23.2727,108.955,54.2121,76.5606,17.7273,1,minimal,65
10004362,OLDHAM COUNTY JAIL,105 SOUTH MAIN STREET,VEGA,OLDHAM,TX,79092,10,COUNTY,NOT AVAILABLE,OPEN,N,1,Not Available,low,20.68599303103014,0,3,Major,32.5419,0,82.2907,1.38767,116.467,20.1542,76.0881,0.343612,1,minimal,68
10002745,PALO PINTO COUNTY JAIL,420 CEDAR ST,PALO PINTO,PALO PINTO,TX,76484,142,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,4,Severe,97.0467,5.78,137.66,49.94,162.32,95.4267,132.353,41.2867,5,severe,93
10002907,VICTORIA COUNTY JAIL,101 N GLASS ST,VICTORIA,VICTORIA,TX,77901,524,COUNTY,NOT AVAILABLE,OPEN,N,1,Minimal,high,0,0,5,Extreme,129.415,11.9268,167.919,74.935,186.976,125.398,163.439,63.7154,1,minimal,35
